,0,1
0,book just awesome,1
1,this first clive cussler ve ever read but even books like relic and were more plausible than this,1
2,liked lot,1
3,liked lot,1
4,liked but it ultimatly did nt seem to hold its own,1
5,that s not even exaggeration   and at midnight we went to walmart to buy which amazing of course,1
6,loved but now want something better and different,1
7,thought great same with kite runner,1
8,actually good movie,1
9,thought pretty good book,1
10,one of most beautiful movies ve ever seen,1
11,  amazing   book do not get me wrong,1
12,then turn on light and radio and enjoy my,1
13,really good,1
14,love,1
15,loved,1
16,to night and beautiful mind,1
17,awesome book,1
18,thing enjoyed,1
19,very slash amazing race,1
20,hey loved,1
21,also loved,1
22,really enjoyed but thought would be disappointed in other books   ,1
23,do like angels and demons more then,1
24,really good movie,1
25,yeah awesome movie liked it pretty interesting,1
26,really like,1
27,amazing,1
28,awesome,1
29,codes backtory on various religious historical figures and such were interesting at times but m more of scifi girl at heart,1
30,book   s   love,1
31,and then we went to see which crazy awesome and ian mckellen my old gay husband,1
32,  now some people will say to me joe liked you re being too hard on dan brown,1
33,love,1
34,well did enjoy bridget jones and loved so this idea appeals to me and it takes chick lit into one of few arenas that genre has yet to explore,1
35,just read   which awesome by way   ,1
36,excellent if you read it as normal as you read other novels,1
37,loved,1
38,love reading,1
39,m telling you awesome book,1
40,then again my opinion may be bit biased because loved soundtrack,1
41,and quite pleased with my own openmindedness after having loved so much that able to get equal enjoyment   seeing how other side reads,1
42,love,1
43,awesome,1
44,awesome,1
45,such awesome book,1
46,love,1
47,loved,1
48,awesome,1
49,oh so beautiful,1
50,loved,1
51,awesome book,1
52,awesome book,1
53,miss ripping acoustic music and,1
54,personally neither hate nor love,1
55,looks amazingly fun and possibly bit cold   do nt tell anyone   but awesome book,1
56,of course awesome book but you will figure that out on page,1
57,love  ,1
58,loved,1
59,but seriously awesome book,1
60,awesome,1
61,love,1
62,awesome,1
63,omg love that such awesome book,1
64,awesome book,1
65,still one of most awesomest books ve ever read,1
66,did love though,1
67,awesome,1
68,love too,1
69,shit love,1
70,really awesome book you also got other two books by dan brown,1
71,awesome book just finished it,1
72,awesome,1
