,senti,sentence
0,1,now all has to do is get swype on the and it will be crack that is
1,1,will be adding more carrier support to the s just announced
2,1,hilarious youtube video   guy does a duet with s pretty much sums up the love affair httptcoexbnqjy
3,1,rim you made it too easy for me to switch to see ya
4,1,i just realized that the reason i got into twitter was thanks
5,1,i m a current blackberry user little bit disappointed with it should i move to android or
6,1,the   strangest things has said so far i am sooo glad that gave a sense of humor httptcotwaeudbp via happyplace
7,1,great up close   personal event tonight in regent st store
8,1,from which companies do you experience the best customer service aside from zappos and
9,1,just apply for a job at hope they call me lol
10,1,rt jamaicanidler lmao i think is onto something magical i am dying haha suggested where to find whores and where to h
11,1,lmao i think is onto something magical i am dying haha suggested where to find whores and where to hide a body lolol
12,1,rt philliprowntree just registered as an developer heres hoping i can actually do it any help greatly appreciated
13,1,wow great deals on refurbed ipad first gen models rt offers great deals on refurbished stgen ipads httptcoukwokbgd
14,1,just registered as an developer heres hoping i can actually do it any help greatly appreciated
15,1,   currently learning mandarin for my upcoming trip to hong kong i got ta hand it to iphones   their uber useful flashcard apps  
16,1,come to the dark side gretcheneclark hey if you send me a free i will publicly and ceremoniously burn my blackberry
17,1,hey if you send me a free any version will do i will publicly and ceremoniously burn my blackberry
18,1,thank you for find my mac   just located and wiped my stolen air smallvictory thievingbastards
19,1,thanks to covent garden geniusbar for replacing my keyboardcracked wristpad during my lunch break today out of warranty
20,1,dailydealchat thanks
21,1,ipads replace bound playbooks on some nfl teams httptcouxawkwf nytimes
22,1,applegood ipad
23,1,is efffing amazing
24,1,amazing new   feature   httptcojatfvfpm
25,1,rt triplingo were one of a few featured education apps on the website today sweet httptcoywvbez
26,1,were one of a few featured education apps on the website today sweet httptcoywvbez
27,1,when you want something done right you do it yourself or go to att you re useless these days yourdaysarenumbered
28,1,we did an unexpected workshop for the iphones at yesterday and we got an awesome amount of info notjustaboutthephone gamerchik
29,1,lt
30,1,  rt no question bro rt ainteeentrippin should i get dis or a evo d
31,1,rt imightbewrong i m over people bitching about the iphones i think its the smartest phone i ve ever had and i m very happy    
32,1,i m over people bitching about the iphones i think its the smartest phone i ve ever had and i m very happy      way to go
33,1,twitter ceo points to as corporate mentor as signups triple httptcogcyiphn
34,1,at the bus with my   thxx
35,1,azeev umber appstore is well done so is itunes on the mobile devices   i was talking about desktop app
36,1,nytimes coach wants to see you and bring your ipad httptcojftieng ipad set red   red   hut hut nfl wish i had an ipad
